,Date,Open,Time
342,09/07/2021,1.3782,1630972800.0
343,09/08/2021,1.3768,1631059200.0
344,09/09/2021,1.3835,1631145600.0
345,09/10/2021,1.3835,1631232000.0
346,09/12/2021,1.3839,1631404800.0
347,09/13/2021,1.3836,1631491200.0
348,09/14/2021,1.3806,1631577600.0
349,09/15/2021,1.3837,1631664000.0
350,09/16/2021,1.3788,1631750400.0
351,09/17/2021,1.3788,1631836800.0
352,09/19/2021,1.3742,1632009600.0
353,09/20/2021,1.3657,1632096000.0
354,09/21/2021,1.3659,1632182400.0
355,09/22/2021,1.3625,1632268800.0
356,09/23/2021,1.3716,1632355200.0
357,09/24/2021,1.3716,1632441600.0
358,09/26/2021,1.3682,1632614400.0
359,09/27/2021,1.3682,1632700800.0
360,09/28/2021,1.3534,1632787200.0
361,09/29/2021,1.3422,1632873600.0
362,09/30/2021,1.3472,1632960000.0
363,10/01/2021,1.3472,1633046400.0
364,10/03/2021,1.3545,1633219200.0
365,10/04/2021,1.3613,1633305600.0
366,10/05/2021,1.3629,1633392000.0
367,10/06/2021,1.358,1633478400.0
368,10/07/2021,1.3617,1633564800.0
369,10/08/2021,1.3617,1633651200.0
370,10/10/2021,1.3611,1633824000.0
371,10/11/2021,1.3595,1633910400.0
372,10/12/2021,1.3585,1633996800.0
373,10/13/2021,1.3659,1634083200.0
374,10/14/2021,1.3673,1634169600.0
375,10/15/2021,1.3673,1634256000.0
376,10/17/2021,1.375,1634428800.0
377,10/18/2021,1.3725,1634515200.0
378,10/19/2021,1.3795,1634601600.0
379,10/20/2021,1.3824,1634688000.0
380,10/21/2021,1.3791,1634774400.0
381,10/22/2021,1.3791,1634860800.0
382,10/24/2021,1.3751,1635033600.0
383,10/25/2021,1.3768,1635120000.0
384,10/26/2021,1.3766,1635206400.0
385,10/27/2021,1.3746,1635292800.0
386,10/28/2021,1.3788,1635379200.0
387,10/29/2021,1.3788,1635465600.0
388,10/31/2021,1.3691,1635638400.0
389,11/01/2021,1.3672,1635724800.0
390,11/02/2021,1.3614,1635811200.0
391,11/03/2021,1.3684,1635897600.0
392,11/04/2021,1.3498,1635984000.0
393,11/05/2021,1.3498,1636070400.0
394,11/07/2021,1.3494,1636243200.0
395,11/08/2021,1.3561,1636329600.0
396,11/09/2021,1.3554,1636416000.0
397,11/10/2021,1.3401,1636502400.0
398,11/11/2021,1.3371,1636588800.0
399,11/12/2021,1.3371,1636675200.0
400,11/14/2021,1.3413,1636848000.0
401,11/15/2021,1.3418,1636934400.0
402,11/16/2021,1.3427,1637020800.0
403,11/17/2021,1.348,1637107200.0
404,11/18/2021,1.3488,1637193600.0
405,11/19/2021,1.3488,1637280000.0
406,11/21/2021,1.3452,1637452800.0
407,11/22/2021,1.3396,1637539200.0
408,11/23/2021,1.3374,1637625600.0
409,11/24/2021,1.3325,1637712000.0
410,11/25/2021,1.332,1637798400.0
411,11/26/2021,1.332,1637884800.0
412,11/28/2021,1.334,1638057600.0
413,11/29/2021,1.3311,1638144000.0
414,11/30/2021,1.3295,1638230400.0
415,12/01/2021,1.3277,1638316800.0
416,12/02/2021,1.3306,1638403200.0
417,12/03/2021,1.3306,1638489600.0
418,12/05/2021,1.3231,1638662400.0
419,12/06/2021,1.3264,1638748800.0
420,12/07/2021,1.3242,1638835200.0
421,12/08/2021,1.3209,1638921600.0
422,12/09/2021,1.3219,1639008000.0
423,12/10/2021,1.3219,1639094400.0
424,12/12/2021,1.3269,1639267200.0
425,12/13/2021,1.3216,1639353600.0
426,12/14/2021,1.3238,1639440000.0
427,12/15/2021,1.3263,1639526400.0
428,12/16/2021,1.3319,1639612800.0
429,12/17/2021,1.3319,1639699200.0
430,12/20/2021,1.3207,1639958400.0
431,12/21/2021,1.3265,1640044800.0
432,12/22/2021,1.3348,1640131200.0
433,12/23/2021,1.3404,1640217600.0
434,12/24/2021,1.3404,1640304000.0
435,12/26/2021,1.3385,1640476800.0
436,12/27/2021,1.3437,1640563200.0
437,12/28/2021,1.3434,1640649600.0
438,12/29/2021,1.3486,1640736000.0
439,12/30/2021,1.3494,1640822400.0
440,12/31/2021,1.3494,1640908800.0
441,01/02/2022,1.3529,1641081600.0
442,01/03/2022,1.3471,1641168000.0
443,01/04/2022,1.3532,1641254400.0
444,01/05/2022,1.3554,1641340800.0
445,01/06/2022,1.3528,1641427200.0
446,01/07/2022,1.3528,1641513600.0
447,01/09/2022,1.3585,1641686400.0
448,01/10/2022,1.3575,1641772800.0
449,01/11/2022,1.3635,1641859200.0
450,01/12/2022,1.3701,1641945600.0
451,01/13/2022,1.3705,1642032000.0
452,01/14/2022,1.3705,1642118400.0
453,01/16/2022,1.3673,1642291200.0
454,01/17/2022,1.3645,1642377600.0
455,01/18/2022,1.3594,1642464000.0
456,01/19/2022,1.3606,1642550400.0
457,01/20/2022,1.3595,1642636800.0
458,01/21/2022,1.3595,1642723200.0
459,01/23/2022,1.3554,1642896000.0
460,01/24/2022,1.3485,1642982400.0
461,01/25/2022,1.3485,1643068800.0
462,01/26/2022,1.3461,1643155200.0
463,01/27/2022,1.3385,1643241600.0
464,01/28/2022,1.3385,1643328000.0
465,01/30/2022,1.3404,1643500800.0
466,01/31/2022,1.3445,1643587200.0
467,02/01/2022,1.352,1643673600.0
468,02/02/2022,1.3577,1643760000.0
469,02/03/2022,1.3595,1643846400.0
470,02/04/2022,1.3595,1643932800.0
471,02/06/2022,1.3529,1644105600.0
472,02/07/2022,1.3534,1644192000.0
473,02/08/2022,1.3541,1644278400.0
474,02/09/2022,1.3532,1644364800.0
475,02/10/2022,1.3555,1644451200.0
476,02/11/2022,1.3555,1644537600.0
477,02/13/2022,1.356,1644710400.0
478,02/14/2022,1.3526,1644796800.0
479,02/15/2022,1.3533,1644883200.0
480,02/16/2022,1.3583,1644969600.0
481,02/17/2022,1.3614,1645056000.0
482,02/18/2022,1.3614,1645142400.0
483,02/20/2022,1.359,1645315200.0
484,02/21/2022,1.3598,1645401600.0
485,02/22/2022,1.3582,1645488000.0
486,02/23/2022,1.3542,1645574400.0
487,02/24/2022,1.3375,1645660800.0
488,02/25/2022,1.3375,1645747200.0
489,02/27/2022,1.3405,1645920000.0
490,02/28/2022,1.3419,1646006400.0
491,03/01/2022,1.3321,1646092800.0
492,03/02/2022,1.3403,1646179200.0
493,03/03/2022,1.3346,1646265600.0
494,03/06/2022,1.3225,1646524800.0
495,03/07/2022,1.3102,1646611200.0
496,03/08/2022,1.3103,1646697600.0
497,03/09/2022,1.3179,1646784000.0
498,03/10/2022,1.3083,1646870400.0
499,03/11/2022,1.3083,1646956800.0
500,03/13/2022,1.3036,1647129600.0
501,03/14/2022,1.3,1647216000.0
502,03/15/2022,1.3038,1647302400.0
503,03/16/2022,1.3145,1647388800.0
504,03/17/2022,1.3146,1647475200.0
505,03/18/2022,1.3146,1647561600.0
506,03/20/2022,1.318,1647734400.0
507,03/21/2022,1.3165,1647820800.0
508,03/22/2022,1.3263,1647907200.0
509,03/23/2022,1.3203,1647993600.0
510,03/24/2022,1.3183,1648080000.0
511,03/25/2022,1.3183,1648166400.0
512,03/27/2022,1.3188,1648339200.0
513,03/28/2022,1.3084,1648425600.0
514,03/29/2022,1.3084,1648512000.0
515,03/30/2022,1.3131,1648598400.0
516,03/31/2022,1.3133,1648684800.0
517,04/01/2022,1.3133,1648771200.0
518,04/03/2022,1.3112,1648944000.0
519,04/04/2022,1.3113,1649030400.0
520,04/05/2022,1.3068,1649116800.0
521,04/06/2022,1.3068,1649203200.0
522,04/07/2022,1.3073,1649289600.0
523,04/08/2022,1.3073,1649376000.0
524,04/10/2022,1.3031,1649548800.0
525,04/11/2022,1.3029,1649635200.0
526,04/12/2022,1.2997,1649721600.0
527,04/13/2022,1.3115,1649808000.0
528,04/14/2022,1.3065,1649894400.0
529,04/15/2022,1.3062,1649980800.0
530,04/18/2022,1.3008,1650240000.0
531,04/19/2022,1.2996,1650326400.0
532,04/20/2022,1.3066,1650412800.0
533,04/21/2022,1.3028,1650499200.0
534,04/22/2022,1.3028,1650585600.0
535,04/24/2022,1.2837,1650758400.0
536,04/25/2022,1.274,1650844800.0
537,04/26/2022,1.2572,1650931200.0
538,04/27/2022,1.2548,1651017600.0
539,04/28/2022,1.2456,1651104000.0
540,04/29/2022,1.2456,1651190400.0
541,05/01/2022,1.2571,1651363200.0
542,05/02/2022,1.2491,1651449600.0
543,05/03/2022,1.2498,1651536000.0
544,05/04/2022,1.2621,1651622400.0
545,05/05/2022,1.2364,1651708800.0
546,05/06/2022,1.2364,1651795200.0
547,05/08/2022,1.2337,1651968000.0
548,05/09/2022,1.2331,1652054400.0
549,05/10/2022,1.2322,1652140800.0
550,05/11/2022,1.225,1652227200.0
551,05/12/2022,1.2199,1652313600.0
552,05/13/2022,1.2199,1652400000.0
553,05/15/2022,1.2261,1652572800.0
554,05/16/2022,1.2317,1652659200.0
555,05/17/2022,1.249,1652745600.0
556,05/18/2022,1.2338,1652832000.0
557,05/19/2022,1.246,1652918400.0
558,05/20/2022,1.246,1653004800.0
559,05/22/2022,1.2487,1653177600.0
560,05/23/2022,1.2588,1653264000.0
561,05/24/2022,1.2529,1653350400.0
562,05/25/2022,1.2564,1653436800.0
563,05/26/2022,1.2594,1653523200.0
564,05/27/2022,1.2594,1653609600.0
565,05/29/2022,1.2616,1653782400.0
566,05/30/2022,1.2616,1653868800.0
567,05/31/2022,1.26,1653955200.0
568,06/01/2022,1.2482,1654041600.0
569,06/02/2022,1.2576,1654128000.0
570,06/03/2022,1.2576,1654214400.0
571,06/05/2022,1.2485,1654387200.0
572,06/06/2022,1.253,1654473600.0
573,06/07/2022,1.2588,1654560000.0
574,06/08/2022,1.2539,1654646400.0
575,06/09/2022,1.249,1654732800.0
576,06/10/2022,1.249,1654819200.0
577,06/12/2022,1.2314,1654992000.0
578,06/13/2022,1.2134,1655078400.0
579,06/14/2022,1.1993,1655164800.0
580,06/15/2022,1.2178,1655251200.0
581,06/16/2022,1.2351,1655337600.0
582,06/17/2022,1.2351,1655424000.0
583,06/19/2022,1.2224,1655596800.0
584,06/20/2022,1.225,1655683200.0
585,06/21/2022,1.2272,1655769600.0
586,06/22/2022,1.2266,1655856000.0
587,06/23/2022,1.226,1655942400.0
588,06/24/2022,1.226,1656028800.0
589,06/26/2022,1.2262,1656201600.0
590,06/27/2022,1.2264,1656288000.0
591,06/28/2022,1.2182,1656374400.0
592,06/29/2022,1.2125,1656460800.0
593,06/30/2022,1.2175,1656547200.0
594,07/01/2022,1.2175,1656633600.0
595,07/05/2022,1.1957,1656979200.0
596,07/06/2022,1.193,1657065600.0
597,07/07/2022,1.2021,1657152000.0
598,07/08/2022,1.2021,1657238400.0
599,07/10/2022,1.2027,1657411200.0
600,07/11/2022,1.1889,1657497600.0
601,07/12/2022,1.1885,1657584000.0
602,07/13/2022,1.1889,1657670400.0
603,07/14/2022,1.1822,1657756800.0
604,07/15/2022,1.1822,1657843200.0
605,07/17/2022,1.1852,1658016000.0
606,07/18/2022,1.1954,1658102400.0
607,07/19/2022,1.1995,1658188800.0
608,07/20/2022,1.1969,1658275200.0
609,07/21/2022,1.1993,1658361600.0
610,07/22/2022,1.1993,1658448000.0
611,07/24/2022,1.2002,1658620800.0
612,07/25/2022,1.2042,1658707200.0
613,07/26/2022,1.2025,1658793600.0
614,07/27/2022,1.2151,1658880000.0
615,07/28/2022,1.2169,1658966400.0
616,07/29/2022,1.2169,1659052800.0
617,07/31/2022,1.2166,1659225600.0
618,08/01/2022,1.2248,1659312000.0
619,08/02/2022,1.2172,1659398400.0
620,08/03/2022,1.2143,1659484800.0
621,08/04/2022,1.2157,1659571200.0
622,08/05/2022,1.2157,1659657600.0
623,08/07/2022,1.2071,1659830400.0
624,08/08/2022,1.2076,1659916800.0
625,08/09/2022,1.208,1660003200.0
626,08/10/2022,1.2225,1660089600.0
627,08/11/2022,1.2212,1660176000.0
628,08/12/2022,1.2212,1660262400.0
629,08/14/2022,1.213,1660435200.0
630,08/15/2022,1.2054,1660521600.0
631,08/16/2022,1.2093,1660608000.0
632,08/17/2022,1.2047,1660694400.0
633,08/18/2022,1.193,1660780800.0
634,08/19/2022,1.193,1660867200.0
